Id,SalePrice
1461,208500
1462,181500
1463,223500
1464,140000
1465,250000
1466,143000
1467,307000
1468,2e+05
1469,129900
1470,118000
1471,129500
1472,345000
1473,144000
1474,279500
1475,157000
1476,132000
1477,149000
1478,90000
1479,159000
1480,139000
1481,325300
1482,139400
1483,230000
1484,129900
1485,154000
1486,256300
1487,134800
1488,306000
1489,207500
1490,68500
1491,40000
1492,149350
1493,179900
1494,165500
1495,277500
1496,309000
1497,145000
1498,153000
1499,109000
1500,82000
1501,160000
1502,170000
1503,144000
1504,130250
1505,141000
1506,319900
1507,239686
1508,249700
1509,113000
1510,127000
1511,177000
1512,114500
1513,110000
1514,385000
1515,130000
1516,180500
1517,172500
1518,196500
1519,438780
1520,124900
1521,158000
1522,101000
1523,202500
1524,140000
1525,219500
1526,317000
1527,180000
1528,226000
1529,80000
1530,225000
1531,244000
1532,129500
1533,185000
1534,144900
1535,107400
1536,91000
1537,135750
1538,127000
1539,136500
1540,110000
1541,193500
1542,153500
1543,245000
1544,126500
1545,168500
1546,260000
1547,174000
1548,164500
1549,85000
1550,123600
1551,109900
1552,98600
1553,163500
1554,133900
1555,204750
1556,185000
1557,214000
1558,94750
1559,83000
1560,128950
1561,205000
1562,178000
1563,118964
1564,198900
1565,169500
1566,250000
1567,1e+05
1568,115000
1569,115000
1570,190000
1571,136900
1572,180000
1573,383970
1574,217000
1575,259500
1576,176000
1577,139000
1578,155000
1579,320000
1580,163990
1581,180000
1582,1e+05
1583,136000
1584,153900
1585,181000
1586,84500
1587,128000
1588,87000
1589,155000
1590,150000
1591,226000
1592,244000
1593,150750
1594,220000
1595,180000
1596,174000
1597,143000
1598,171000
1599,230000
1600,231500
1601,115000
1602,260000
1603,166000
1604,204000
1605,125000
1606,130000
1607,105000
1608,222500
1609,141000
1610,115000
1611,122000
1612,372402
1613,190000
1614,235000
1615,125000
1616,79000
1617,109500
1618,269500
1619,254900
1620,320000
1621,162500
1622,412500
1623,220000
1624,103200
1625,152000
1626,127500
1627,190000
1628,325624
1629,183500
1630,228000
1631,128500
1632,215000
1633,239000
1634,163000
1635,184000
1636,243000
1637,211000
1638,172500
1639,501837
1640,1e+05
1641,177000
1642,200100
1643,120000
1644,2e+05
1645,127000
1646,475000
1647,173000
1648,135000
1649,153337
1650,286000
1651,315000
1652,184000
1653,192000
1654,130000
1655,127000
1656,148500
1657,311872
1658,235000
1659,104000
1660,274900
1661,140000
1662,171500
1663,112000
1664,149000
1665,110000
1666,180500
1667,143900
1668,141000
1669,277000
1670,145000
1671,98000
1672,186000
1673,252678
1674,156000
1675,161750
1676,134450
1677,210000
1678,107000
1679,311500
1680,167240
1681,204900
1682,2e+05
1683,179900
1684,97000
1685,386250
1686,112000
1687,290000
1688,106000
1689,125000
1690,192500
1691,148000
1692,403000
1693,94500
1694,128200
1695,216500
1696,89500
1697,185500
1698,194500
1699,318000
1700,113000
1701,262500
1702,110500
1703,79000
1704,120000
1705,205000
1706,241500
1707,137000
